,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
48,2013-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2013-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2013-12-17,,,,,,,,0.4289975,,,,,,,,,0.40975726,,,,,,,,0.402746,0.35883012,,,,,,,,0.29174694,0.29694262,0.4151988,,,,,,0.3890504,0.25106248,0.37942463,,,,,,0.46206355,0.45308238,0.26641175,0.35622835,,,,,0.48057693,0.3800219,0.2982664,0.20589256,0.30923694,,,,,0.41265535,0.40957445,0.39732584,0.20827492,0.27780107,0.46048978
51,2013-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2014-01-14,0.28255937,0.26023448,0.28149563,0.32023174,0.35796344,0.4268961,0.3811721,0.30903533,0.30305645,0.3227071,0.34572142,0.3300244,0.36293766,0.36717185,0.40475786,0.38932437,0.35634267,0.3526998,0.31464946,0.4378024,0.37605163,0.3648181,0.3752425,0.37805063,0.33500946,0.3315768,0.32850403,0.2687792,0.3727489,0.40495703,0.3175809,0.2971614,0.28419983,0.25684386,0.26227465,0.26453203,0.28323078,0.35540444,0.38235486,0.24793416,0.2211446,0.21520042,0.20878236,0.22419456,0.23314007,0.26426232,0.31305215,0.28931478,0.21233577,0.19419082,0.20440316,0.20670493,0.22449984,0.22808339,0.27642706,0.34389275,0.34920004,0.19260716,0.179014,0.18851727,0.2340718,0.2620625,0.26858446,0.31706566,0.34244978,0.30339238,0.24361408,0.20006682,0.21910027,0.26308805,0.33135554,0.35807696
55,2014-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2014-01-28,0.39963543,0.34254226,0.34441772,0.34880868,0.30281922,0.2581918,0.32235545,0.52123004,0.45243537,0.62337893,0.33765873,0.31461337,0.3324223,0.29914954,0.29619062,0.41625193,,0.3444975,,0.46084467,0.32571647,0.51713175,0.51937354,0.45223245,,,0.27636015,,0.5901432,0.42306355,,,,,,0.33684406,,0.61827135,0.46723926,,,,,,0.3387221,,,,,,,,,0.39587978,,,,,,,,0.40190318,0.3444554,,,,,,,,0.23188795,0.31069192
57,2014-02-04,0.39963543,0.34254226,0.34441772,0.34880868,0.30281922,0.2581918,0.32235545,0.52123004,0.45243537,0.62337893,0.33765873,0.31461337,0.3324223,0.29914954,0.29619062,0.41625193,0.59601563,0.3444975,,0.46084467,0.32571647,0.51713175,0.51937354,0.45223245,,,0.27636015,,0.5901432,0.42306355,,,,,,0.33684406,,0.61827135,0.46723926,,,,,,0.3387221,,,,,,,,,0.39587978,,,,,,,,0.40190318,0.3444554,,,,,,,,0.23188795,0.31069192
58,2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2014-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2014-03-18,0.33331144,0.5858574,,0.1816607,0.22844037,0.29557967,0.29452175,0.22234887,0.19944893,0.111988105,0.06136743,0.08796629,0.039103042,0.087246984,0.15175876,0.2243411,0.18890426,0.1849192,0.034508396,0.030364374,0.016989786,0.034519948,0.06480631,0.10103027,0.15269952,0.16743219,0.18412843,0.026279634,0.01780811,0.019916715,0.053348813,0.115375385,0.126302,0.121260315,0.09228663,0.046549156,0.014197128,0.021675859,0.028702268,0.029904267,0.032057546,0.032430183,0.021907164,0.007833738,,0.03207019,0.027198683,0.015507261,0.011404575,0.004622532,,,,,0.031067293,0.021229215,0.012709803,0.011308446,0.00090795837,,,,,0.015191654,0.009354568,0.0047350274,0.0069686286,0.0019510017,,,,
64,2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2014-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2014-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2014-04-22,,,,,,,,0.6871269,,,,,,,,,,,,,,0.54532033,0.5891457,0.43456203,0.56099325,0.6574517,,,,0.6684054,0.25188246,0.22526582,0.256037,0.4049169,0.6248588,,0.38275567,0.4519785,0.33464003,0.15170477,0.15902255,0.2816185,0.43504092,0.6876798,,0.12470705,0.11317532,0.09847444,0.12288169,0.15396637,0.36816236,0.61486644,,,0.0779949,0.07631305,0.07482102,0.12081457,0.18515244,0.46677652,,,,0.062015794,0.068199165,0.08891341,0.12671724,0.20678917,0.3847862,0.52108896,0.57310903,0.6510785
69,2014-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2014-05-06,0.77392924,0.7739922,0.76839924,0.78213423,,,0.6882603,,,0.78001934,,,,,,0.6329416,0.69924366,,,,,,,,0.55799896,0.65489733,,0.7796747,,,,,,0.58110696,0.67291594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2014-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2014-05-20,0.18043026,0.1542719,0.119823374,0.15243165,0.13276823,0.10750371,0.09835254,0.109486096,0.12634887,0.16463143,0.17618683,0.15871793,0.13865952,0.12031501,0.107215464,0.107569985,0.11332201,0.13059667,0.15884441,0.20261042,0.17860383,0.12190113,0.11293912,0.11028121,0.112639,0.1279622,0.14917044,0.14626734,0.15698089,0.14330658,0.11050782,0.115781955,0.11789456,0.12784223,0.15276095,0.15654144,0.12938485,0.121523164,0.11390165,0.10903214,0.12042659,0.12527569,0.13697462,0.16127078,0.15958188,0.1326465,0.12730187,0.10550892,0.1097016,0.11481829,0.11806902,0.13156115,0.1559207,0.15200223,0.13742392,0.124380626,0.11435123,0.112236835,0.11494119,0.11980569,0.12465527,0.13535134,0.13392934,0.13199997,0.121376656,0.123321585,0.12983978,0.124279216,0.12519538,0.12423958,0.12938951,0.13364017
